,conference,Date,title,id,IMPACT,SUBSTANCE,APPROPRIATENESS,MEANINGFUL_COMPARISON,SOUNDNESS_CORRECTNESS,ORIGINALITY,CLARITY,REVIEWER_CONFIDENCE,RECOMMENDATION,comments
9908,acl_2017,2017,Detect Rumors in Microblog Posts Using Propagation Structure via Kernel Learning,729.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,"- Strengths:

The authors propose a kernel-based method that captures high-order patterns
differentiting different types of rumors by evaluating the similarities between
their propagation tree structures.

- Weaknesses:

maybe the maths is not always clear in Sect. 4. 

- General Discussion:

The authors propose a propagation tree kernel, a kernel-based method that
captures high-order patterns differentiating types of rumors by evaluating the
similarities between their propagation tree structures. The proposed approach
detects rumors more quickly and with a higher accuracy compared to the one
obtained by the state of the art methods.

The data set should be made public for research purposes.

Typos need to be fixed (e.g. 326/3277: any subgraph which have->has; 472:
TPK->PTK; 644: Table 2 show+s), missing information needs to be added (875:
where was it published?), information needs to be in the same format (e.g. 822
vs 897). Figure 5 is a bit small."
9909,acl_2017,2017,Handling Cold-Start Problem in Review Spam Detection by Jointly Embedding Texts and Behaviors,338.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,"- Strengths:
     - The related work is quite thorough and the comparison with the approach
presented in this paper makes the hypothesis of the paper stronger. The
evaluation section is also extensive and thus, the experiments are convincing.

- Weaknesses:
     - In Section 3 it is not clear what is exactly the dataset that you used
for training the SVM and your own model. Furthermore, you only give the
starting date for collecting the testing data, but there is no other
information related to the size of the dataset or the time frame when the data
was collected. This might also give some insight for the results and statistics
given in Section 3.2.
     - In Table 3 we can see that the number of reviewers is only slightly
lower than the number of reviews posted (at least for hotels), which means that
only a few reviewers posted more than one review, in the labeled dataset. How
does this compare with the full dataset in Table 2? What is the exact number of
reviewers in Table 2 (to know what is the percentage of labeled reviewers)? It
is also interesting to know how many reviews are made by one person on average.
If there are only a few reviewers that post more than one review (i.e., not
that much info to learn from), the results would benefit from a thorough
discussion. 

- General Discussion:
     This paper focuses on identifying spam reviews under the assumption that
we deal with a cold-start problem, i.e., we do not have enough information to
draw a conclusion. The paper proposes a neural network model that learns how to
represent new reviews by jointly using embedded textual information and
behaviour information. Overall, the paper is very well written and the results
are compelling.

- Typos and/or grammar:                                 
     - The new reviewer only provide us                                        

     - Jindal and Liu (2008) make the first step -> the work is quite old, you
could use past tense to refer to it
     - Usage of short form “can’t”, “couldn’t”, “what’s”
instead of the prefered long form
     - The following sentence is not clear and should be rephrased: “The new
reviewer just posted one review and we have to filter it out immediately, there
is not any historical reviews provided to us.“"
9910,acl_2017,2017,Handling Cold-Start Problem in Review Spam Detection by Jointly Embedding Texts and Behaviors,338.0,3.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,"This paper investigates the cold-start problem in review spam detection. The
authors first qualitatively and quantitatively analyze the cold-start problem.
They observe that there is no enough prior data from a new user in this
realistic scenario. The traditional features fail to help to identify review
spam. Instead, they turn to rely on the abundant textual and behavioral
information of the existing reviewer to augment the information of a new user.
In specific, they propose a neural network to represent the review of the new
reviewer with the learnt word embedding and jointly encoded behavioral
information. In the experiments, the authors make comparisons with traditional
methods, and show the effectiveness of their model.

- Strengths:

The paper is well organized and clearly written. The idea of jointly encoding
texts and behaviors is interesting. The cold-start problem is actually an
urgent problem to several online review analysis applications. In my knowledge,
the previous work has not yet attempted to tackle this problem. This paper is
meaningful and presents a reasonable analysis. And the results of the proposed
model can also be available for downstream detection models.

- Weaknesses:

In experiments, the author set the window width of the filters in the CNN
module to 2. Did the author try other window widths, for example width `1' to
extract unigram features, `3' to trigram, or use them together? 
The authors may add more details about the previous work in the related work
section. More specifically description would help the readers to understand the
task clearly.

There are also some typos to be corrected:
Sec 1: ``...making purchase decision...'' should be ``making a/the purchase
decision''
Sec 1: ``...are devoted to explore... '' should be `` are devoted to
exploring''
Sec 1: ``...there is on sufficient behaviors...'' should be “there are no
sufficient behaviors''
Sec 1: ``...on business trip...'' should be ``on a business trip''
Sec 1: ``...there are abundant behavior information...'' should be ``there is
abundant behavior''
Sec 3: ``The new reviewer only provide us...'' should be ``...The new reviewer
only provides us...''
Sec 3: ``...features need not to take much...'' should be ``...features need
not take much...''
Sec 4: ``...there is not any historical reviews...'' should be ``...there are
not any historical reviews...''
Sec 4: ``...utilizing a embedding learning model...'' should be ``...utilizing
an embedding learning model...''
Sec 5.2 ``...The experiment results proves...'' should be ``...The experiment
results prove...''

- General Discussion:

It is a good paper and should be accepted by ACL."
9911,acl_2017,2017,Cross-Context Lexical Analysis,553.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,"- Strengths: A nice, solid piece of work that builds on previous studies in a
productive way. Well-written and clear. 

- Weaknesses:

 Very few--possibly avoid some relatively ""empty"" statements:

191 : For example, if our task is to identify words used similarly across
contexts, our scoring function can be specified to give high scores to terms
whose usage is similar across the contexts.

537 : It is educational to study how annotations drawn from the same data are
similar or different.

- General Discussion:
In the first sections I was not sure that much was being done that was new or
interesting, as the methods seemed very reminiscent of previous methods used
over the past 25 years to measure similarity, albeit with a few new statistical
twists, but conceptually in the same vein. Section 5, however, describes an
interesting and valuable piece of work that will be useful for future studies
on the topic. In retrospect, the background provided in sections 2-4 is useful,
if not necessary, to support the experiments in section 5. 

In short, the work and results described will be useful to others working in
this area, and the paper is worthy of presentation at ACL.

Minor comments:

Word, punctuation missing?
264 : For word annotations, we used PPMI, SVD, and SGNS (skipgram with negative
sampling from Mikolov et al. (2013b)) word vectors released by Hamilton et al.
(2016).

Unclear what ""multiple methods"" refers to :
278 : some words were detected by multiple methods with CCLA"
9912,acl_2017,2017,Cross-Context Lexical Analysis,553.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,"This paper propose a general framework for analyzing similarities and
differences in term meaning and representation in different contexts.

- Strengths:
* The framework proposed in this paper is generalizable and can be applied to
different applications, and accommodate difference notation of context,
different similarity functions, different type of word annotations. 
* The paper is well written. Very easy to follow.

- Weaknesses:
* I have concerns in terms of experiment evaluation. The paper uses qualitative
evaluation metrics, which makes it harder to evaluate the effectiveness, or
even the validity of proposed method. For example, table 1 compares the result
with Hamilton et, al using different embedding vector by listing top 10 words
that changed from 1900 to 1990. It's hard to tell, quantitatively, the
performances of CCLA. The same issue also applies to experiment 2 (comparative
lexical analysis over context). The top 10 words may be meaningful, but what
about top 20, 100? what about the words that practitioner actually cares?
Without addressing the evaluation issue, I find it difficult to claim that CCLA
will benefit downstream applications."
9913,acl_2017,2017,Skip-Gram - Zipf + Uniform = Vector Additivity,251.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,"This paper delves into the mathematical properties of the skip-gram model,
explaining the reason for its success on the analogy task and for the general
superiority of additive composition models. It also establishes a link between
skip-gram and Sufficient Dimensionality Reduction.

I liked the focus of this paper on explaining the properties of skip-gram, and
generally found it inspiring to read. I very much appreciate the effort to
understand the assumptions of the model, and the way it affects (or is affected
by) the composition operations that it is used to perform. In that respect, I
think it is a very worthwhile read for the community.

My main criticism is however that the paper is linguistically rather naive. The
authors' use of 'compositionality' (as an operation that takes a set of words
and returns another with the same meaning) is extremely strange. Two words can
of course be composed and produce a vector that is a) far away from both; b)
does not correspond to any other concept in the space; c) still has meaning
(productivity wouldn't exist otherwise!) Compositionality in linguistic terms
simply refers to the process of combining linguistic constituents to produce
higher-level constructs. It does not assume any further constraint, apart from
some vague (and debatable) notion of semantic transparency. The paper's
implication (l254) that composition takes place over sets is also wrong:
ordering matters hugely (e.g. 'sugar cane' is not 'cane sugar'). This is a
well-known shortcoming of additive composition. 

Another important aspect is that there are pragmatic factors that make humans
prefer certain phrases to single words in particular contexts (and the
opposite), naturally changing the underlying distribution of words in a large
corpus. For instance, talking of a 'male royalty' rather than a 'king' or
'prince' usually has implications with regard to the intent of the speaker
(here, perhaps highlighting a gender difference). This means that the equation
in l258 (or for that matter the KL-divergence modification) does not hold, not
because of noise in the data, but because of fundamental linguistic processes.
This point may be addressed by the section on SDR, but I am not completely sure
(see my comments below).

In a nutshell, I think the way that the authors present composition is flawed,
but the paper convinces me that this is indeed what happens in skip-gram, and I
think this is an interesting contribution. 

The part about Sufficient Dimensionality Reduction seems a little disconnected
from the previous argument as it stands. I'm afraid I wasn't able to fully
follow the argument, and I would be grateful for some clarification in the
authors' response. If I understand it well, the argument is that skip-gram
produces a model where a word's neighbours follow some exponential
parametrisation of a categorical distribution, but it is unclear whether this
actually reflects the distribution of the corpus (as opposed to what happens
in, say, a pure count-based model). The fact that skip-gram performs well
despite not reflecting the data is that it implements some form of SDR, which
does not need to make any assumption about the underlying form of the data. But
then, is it fair to say that the resulting representations are optimised for
tasks where geometrical regularities are important, regardless of the actual
pattern of the data? I.e. there some kind of denoising going on?

Minor comments:

- The abstract is unusually long and could, I think, be shortened.

- para starting l71: I think it would be misconstrued to see circularity here.
Firth observed that co-occurrence effects were correlated with similarity
judgements, but those judgements are the very cognitive processes that we are
trying to model with statistical methods. Co-occurrence effects and vector
space word representations are in some sense 'the same thing', modelling an
underlying linguistic process we do not have direct observations for. So
pair-wise similarity is not there to break any circularity, it is there because
it better models the kind of judgements humans known to make.

- l296: I think 'paraphrase' would be a better word than 'synonym' here, given
that we are comparing a set of words with a unique lexical item.

- para starting l322: this is interesting, and actually, a lot of the zipfian
distribution (the long tail) is fairly uniform.

- l336: it is probably worth pointing out that the analogy relation does not
hold so well in practice and requires to 'ignore' the first returned neighbour
of the analogy computation (which is usually one of the observed terms).

- para starting l343: I don't find it so intuitive to say that 'man' would be a
synonym/paraphrase of anything involving 'woman'. The subtraction involved in
the analogy computation is precisely not a straightforward composition
operation, as it involves an implicit negation. 

- A last, tiny general comment. It is usual to write p(w|c) to mean the
probability of a word given a context, but in the paper 'w' is actually the
context and 'c' the target word. It makes reading a little bit harder...
Perhaps change the notation?

Literature:

The claim that Arora (2016) is the only work to try and understand vector
composition is a bit strong. For instance, see the work by Paperno & Baroni on
explaining the success of addition as a composition method over PMI-weighted
vectors:

D. Paperno and M. Baroni. 2016. When the whole is less than the sum of its
parts: How composition affects PMI values in distributional semantic vectors.
Computational Linguistics 42(2): 345-350.

***
I thank the authors for their response and hope to see this paper accepted."
9914,acl_2017,2017,"A Weakly-Supervised Method for Jointly Embedding Concepts, Phrases, and Words",178.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,"The paper describes an extension of word embedding methods to also provide
representations for phrases and concepts that correspond to words.  The method
works by fixing an identifier for groups of phrases, words and the concept that
all denote this concept, replace the occurrences of the phrases and words by
this identifier in the training corpus, creating a ""tagged"" corpus, and then
appending the tagged corpus to the original corpus for training.  The
concept/phrase/word sets are taken from an ontology.  Since the domain of
application is biomedical, the related corpora and ontologies are used.  The
researchers also report on the generation of a new test dataset for word
similarity and relatedness for real-world entities, which is novel.

In general, the paper is nicely written.  The technique is pretty natural,
though not a very substantial contribution. The scope of the contribution is
limited, because of focused evaluation within the biomedical domain.

More discussion of the generated test resource could be useful.  The resource
could be the true interesting contribution of the paper.

There is one
small technical problem, but that is probably just a matter of mathematical
expression than implementation.

Technical problem:
Eq. 8: The authors want to define the MAP calculation.                          This
is a
good
idea,
thought I think that a natural cut-off could be defined, rather than ranking
the entire vocabulary.                          Equation 8 does not define a
probability;
it is
quite
easy to show this, even if the size of the vocabulary is infinite.  So you need
to change the explanation (take out talk of a probability).

Small corrections:
line:
556: most concepts has --> most concepts have"
9915,acl_2017,2017,"A Weakly-Supervised Method for Jointly Embedding Concepts, Phrases, and Words",178.0,3.0,4.0,5.0,3.0,3.0,2.0,4.0,4.0,2.0,"Summary: This paper presents a model for embedding words, phrases and concepts
into vector spaces. To do so, it uses an ontology of concepts, each of which is
mapped to phrases. These phrases are found in text corpora and treated as
atomic symbols. Using this, the paper uses what is essentially the skip-gram
method to train embeddings for words, the now atomic phrases and also the
concepts associated with them. The proposed work is evaluated on the task of
concept similarity and relatedness using UMLS and Yago to act as the backing
ontologies.

Strengths:

The key question addressed by the paper is that phrases that are not lexically
similar can be semantically close and, furthermore, not all phrases are
compositional in nature. To this end, the paper proposes a plausible model to
train phrase embeddings. The trained embeddings are shown to be competitive or
better at identifying similarity between concepts.

The software released with the paper could be useful for biomedical NLP
researchers.

- Weaknesses:

The primary weakness of the paper is that the model is not too novel. It is
essentially a tweak to skip-gram. 

Furthermore, the full model presented by the paper doesn't seem to be the best
one in the results (in Table 4). On the two Mayo datasets, the Choi baseline is
substantially better. A similar trend seems to dominate Table 6 too. On the
larger UMNSRS data, the proposed model is at best competitive with previous
simpler models (Chiu).

- General Discussion:

The paper says that it is uses known phrases as distant supervision to train
embeddings. However, it is not clear what the ""supervision"" here is. If I
understand the paper correctly, every occurrence of a phrase associated with a
concept provides the context to train word embeddings. But this is not
supervision in the traditional sense (say for identifying the concept in the
text or other such predictive tasks). So the terminology is a bit confusing.

 The notation introduced in Section 3.2 (E_W, etc) is never used in the rest of
the paper.

The use of \beta to control for compositionality of phrases by words is quite
surprising. Essentially, this is equivalent to saying that there is a single
global constant that decides ""how compositional"" any phrase should be. The
surprising part here is that the actual values of \beta chosen by cross
validation from Table 3 are odd. For PM+CL and WikiNYT, it is zero, which
basically argues against compositionality. 

The experimental setup for table 4 needs some explanation. The paper says that
the data labels similarity/relatedness of concepts (or entities). However, if
the concepts-phrases mapping is really many-to-many, then how are the
phrase/word vectors used to compute the similarities? It seems that we can only
use the concept vectors.

In table 5, the approximate phr method (which approximate concepts with the
average of the phrases in them) is best performing. So it is not clear why we
need the concept ontology. Instead, we could have just started with a seed set
of phrases to get the same results."
9916,acl_2017,2017,"A Weakly-Supervised Method for Jointly Embedding Concepts, Phrases, and Words",178.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,2.0,"The authors presents a method to jointly embed words, phrases and concepts,
based on plain text corpora and a manually-constructed ontology, in which
concepts are represented by one or more phrases. They apply their method in the
medical domain using the UMLS ontology, and in the general domain using the
YAGO ontology. To evaluate their approach, the authors compare it to simpler
baselines and prior work, mostly on intrinsic similarity and relatedness
benchmarks. They use existing benchmarks in the medical domain, and use
mechanical turkers to generate a new general-domain concept similarity and
relatedness dataset, which they also intend to release. They report results
that are comparable to prior work.

Strengths:

- The proposed joint embedding model is straightforward and makes reasonable
sense to me. Its main value in my mind is in reaching a (configurable) middle
ground between treating phrases as atomic units on one hand to considering
their
compositionallity on the other. The same approach is applied to concepts being
‘composed’ of several representative phrases.

-  The paper describes a decent volume of work, including model development,
an additional contribution in the form of a new evaluation dataset, and several
evaluations and analyses performed.

Weaknesses:

- The evaluation reported in this paper includes only intrinsic tasks, mainly
on similarity/relatedness datasets. As the authors note, such evaluations are
known to have very limited power in predicting the utility of embeddings in
extrinsic tasks. Accordingly, it has become recently much more common to
include at least one or two extrinsic tasks as part of the evaluation of
embedding models.

- The similarity/relatedness evaluation datasets used in the paper are
presented as datasets recording human judgements of similarity between
concepts. However, if I understand correctly, the actual judgements were made
based on presenting phrases to the human annotators, and therefore they should
be considered as phrase similarity datasets, and analyzed as such.

- The medical concept evaluation dataset, ‘mini MayoSRS’ is extremely small
(29 pairs), and its larger superset ‘MayoSRS’ is only a little larger (101
pairs) and was reported to have a relatively low human annotator agreement. The
other medical concept evaluation dataset, ‘UMNSRS’, is more reasonable in
size, but is based only on concepts that can be represented as single words,
and were represented as such to the human annotators. This should be mentioned
in the paper and makes the relevance of this dataset questionable with respect
to representations of phrases and general concepts. 

- As the authors themselves note, they (quite extensively) fine tune their
hyperparameters on the very same datasets for which they report their results
and compare them with prior work. This makes all the reported results and
analyses questionable.

- The authors suggest that their method is superb to prior work, as it achieved
comparable results while prior work required much more manual annotation. I
don't think this argument is very strong because the authors also use large
manually-constructed ontologies, and also because the manually annotated
dataset used in prior work comes from existing clinical records that did not
require dedicated annotations.

- In general, I was missing more useful insights into what is going on behind
the reported numbers. The authors try to treat the relation between a phrase
and its component words on one hand, and a concept and its alternative phrases
on the other, as similar types of a compositional relation. However, they
are different in nature and in my mind each deserves a dedicated analysis. For
example, around line 588, I would expect an NLP analysis specific to the
relation between phrases and their component words. Perhaps the reason for the
reported behavior is dominant phrase headwords, etc. Another aspect that was
absent but could strengthen the work, is an investigation of the effect of the
hyperparameters that control the tradeoff between the atomic and compositional
views of phrases and concepts.

General Discussion:

Due to the above mentioned weaknesses, I recommend to reject this submission. I
encourage the authors to consider improving their evaluation datasets and
methodology before re-submitting this paper.

Minor comments:

- Line 069: contexts -> concepts

- Line 202: how are phrase overlaps handled?

- Line 220: I believe the dimensions should be |W| x d. Also, the terminology
‘negative sampling matrix’ is confusing as the model uses these embeddings
to represent contexts in positive instances as well.

- Line 250: regarding ‘the observed phrase just completed’, it not clear to
me how words are trained in the joint model. The text may imply that only the
last words of a phrase are considered as target words, but that doesn’t make
sense. 

- Notation in Equation 1 is confusing (using c instead of o)

- Line 361: Pedersen et al 2007 is missing in the reference section.

- Line 388: I find it odd to use such a fine-grained similarity scale (1-100) 
for human annotations.

- Line 430: The newly introduced term ‘strings’ here is confusing. I
suggest to keep using ‘phrases’ instead.

- Line 496: Which task exactly was used for the hyper-parameter tuning?
That’s important. I couldn’t find that even in the appendix.

- Table 3: It’s hard to see trends here, for instance PM+CL behaves rather
differently than either PM or CL alone. It would be interesting to see
development set trends with respect to these hyper-parameters.

- Line 535: missing reference to Table 5."
9917,acl_2017,2017,Neural Word Segmentation with Rich Pretraining,343.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,3.0,"- Strengths:
i. Well organized and easy to understand
ii. Provides detailed comparisons under various experimental settings and shows
the state-of-the-art performances

- Weaknesses:
i. In experiments, this paper compares previous supervised approaches, but the
proposed method is the semi-supervised approach even if the training data is
enough to train.

- General Discussion:
This paper adopts a pre-training approach to improve Chinese word segmentation.
Based on the transition-based neural word segmentation, this paper aims to
pre-train incoming characters with external resources (punctuation, soft
segmentation, POS, and heterogeneous training data) through multi-task
learning. That is, this paper casts each external source as an auxiliary
classification task. The experimental results show that the proposed method
achieves the state-of-the-art performances in six out of seven datasets. 

This paper is well-written and easy to understand. A number of experiments
prove the effectiveness of the proposed method. However, there exist an issue
in this paper. The proposed method is a semi-supervised learning that uses
external resources to pre-train the characters. Furthermore, this paper uses
another heterogeneous training datasets even if it uses the datasets only for
pre-training. Nevertheless, the baselines in the experiments are based on
supervised learning. In general, the performance of semi-supervised learning is
better than that of supervised learning because semi-supervised learning makes
use of plentiful auxiliary information. In the experiments, this paper should
have compared the proposed method with semi-supervised approaches.

POST AUTHOR RESPONSE

What the reviewer concerned is that this paper used additional
“gold-labeled” dataset to pretrain the character embeddings. Some baselines
in the experiments used label information, where the labels are predicted
automatically by their base models as the authors pointed out. When insisting
superiority of a method, all circumstances should be same. Thus, even if the
gold dataset isn’t used to train the segmentation model directly, it seems to
me that it is an unfair comparison because the proposed method used another
“gold” dataset to train the character embeddings."
